time_min,time_generations,TetR_mRNA,TetR_total,CI_mRNA,CI,LacI_mRNA,LacI,C31_mRNA,C31_protein,TetR_free,PLtetO1_activity,resource_availability,unthrottled_C31_demand_molecules_min,actual_C31_translation_flux_uM_h
1138.0,22.76,0.03815336824883139,411.5740031772189,0.0021063671356641943,13.986339382984932,11.54604116671102,129.96268757120473,0.7322530369011997,98.43004223372813,291.584636742553,0.005088169979228926,1.0,0.36612651845059985,0.03647804324493403
1139.0,22.78,0.03471810219892288,405.9258178246492,0.0022317891027021737,13.794862113527337,11.824948461841975,133.9759773501175,0.7329023972631269,97.43868704742914,285.9370939266185,0.005093497678829098,1.0,0.36645119863156345,0.036510391892423666
1140.0,22.8,0.03161790533556912,400.3537718087946,0.0023654819511611503,13.60608528063344,12.105445927555895,138.07291173383308,0.7335945793306919,96.46131311235875,280.36573351720915,0.005099182498937294,1.0,0.36679728966534597,0.03654487375336733
1141.0,22.82,0.028818470108661672,394.85697457967956,0.002508051559361746,13.419975962301473,12.387299785570434,142.25307081143703,0.7343327199815474,95.4977499780167,274.8696681825326,0.005105251123656665,1.0,0.3671663599907737,0.03658164509500177
1142.0,22.84,0.02628910959457771,389.4345317304036,0.0026601536758555796,13.236502002854508,12.670271178425246,146.5159230766021,0.7351202142917459,94.54783116147657,269.44800700440214,0.005111732480238088,1.0,0.36756010714587295,0.03662087504701962
1143.0,22.86,0.02400236928118857,384.08554674955764,0.0028224985195873173,13.055632028279575,12.954116905273917,150.8608246237845,0.7359607393526448,93.61139422680229,264.0998572561809,0.005118657950750889,1.0,0.3679803696763224,0.03666274678803646
1144.0,22.88,0.021933680509610462,378.80912256741163,0.0029958558550016276,12.87733546375574,13.238590184752166,155.28701872777685,0.7368582805467908,92.68828087579838,258.8243259771956,0.005126061606125394,1.0,0.3684291402733954,0.03670745885455478
1145.0,22.9,0.020061051229338628,373.604362918163,0.0031810605968759114,12.701582553590377,13.523441439451899,159.7936358134609,0.7378171605664107,91.77833705122796,253.62052136622708,0.005133980465197537,1.0,0.36890858028320533,0.03675522658655411
1146.0,22.92,0.018364790100646042,368.4703735383056,0.0033790190063862765,12.528344383808298,13.808419096185826,164.37969381968318,0.7388420714929571,90.88141305376591,248.4875540144938,0.005142454781727258,1.0,0.36942103574647855,0.03680628372557122
1147.0,22.94,0.01682726035990485,363.40626321907064,0.0035907155476585908,12.357592907668431,14.093270395983412,169.0440989582067,0.7399381102962531,89.99736367410898,243.42453799648806,0.00515152836275264,1.0,0.36996905514812656,0.036860884183131576
1148.0,22.96,0.015432660275178955,358.41114472892093,0.0038172204832046972,12.189300974413458,14.3777422076235,173.7856468654666,0.7411108181591429,89.1260483418245,238.43059183510243,0.005161248922088353,1.0,0.37055540907957146,0.036919303999752885
1149.0,22.98,0.01416682734274231,353.48413562030396,0.004059698297181138,12.023442361597779,14.661581838402155,178.6030241420859,0.7423662240881171,88.26733129272513,233.50483935577594,0.005171668473288587,1.0,0.37118311204405857,0.03698184351745959
1150.0,23.0,0.013017063637547416,348.6243589334711,0.004319417046519493,11.859991811379325,14.944537835792396,183.49481027174386,0.7437108933279049,87.42108175676653,228.64641044305677,0.0051828437669813225,1.0,0.3718554466639524,0.03704882979161242
1151.0,23.02,0.011971980049611352,343.8309438086626,0.004597758754080474,11.698925071209356,15.226360773725936,188.45947990813016,0.745151981171046,86.58717416871468,223.85444171155567,0.005194836778155236,1.0,0.372575990585523,0.037120619271495375
1152.0,23.04,0.011021357357001391,339.1030260167882,0.004896230973202302,11.540218939408556,15.50680401732504,193.49540551572517,0.746697292832244,85.76548840411215,219.12807710218593,0.005207715249756233,1.0,0.373348646416122,0.03719760078302673
1153.0,23.06,0.010156022301781153,334.4397484176254,0.005216479670678359,11.383851316179735,15.785624460091478,198.60086034735212,0.748355350148765,84.95591004339124,214.4664684135866,0.005221553299844571,1.0,0.3741776750743825,0.03728019885151763
1154.0,23.08,0.009367737044664547,329.8402613535685,0.0055603035957904395,11.229801260677547,16.06258322780456,203.77402173872156,0.7501354659747466,84.15833066734712,209.8687757777609,0.005236432100595134,1.0,0.3750677329873733,0.037368877407711734
1155.0,23.1,0.008649100542038846,325.30372298608535,0.0059296703265702706,11.078049054836494,16.337446343664244,209.01297469772513,0.7520478272591973,83.37264818760143,205.33416808823,0.005252440638615804,1.0,0.37602391362959864,0.03746414392641317
1156.0,23.12,0.007993460545216003,320.82929958126954,0.0063267342114724226,10.928576274749984,16.609985349555622,214.3157157638726,0.7541035879373107,82.59876721616043,200.8618233883979,0.005269676567439013,1.0,0.37705179396865535,0.03756655405397619
1157.0,23.14,0.007394835068036364,316.41616575016275,0.006753856456230867,10.781365870498453,16.87997787868388,219.68015711117187,0.7563149729282631,81.83659947871769,196.4509292273055,0.005288247164641783,1.0,0.37815748646413155,0.03767671678907733
1158.0,23.16,0.0068478422907081475,312.06350464891256,0.0072136276419066635,10.636402255445018,17.14720817522939,225.10413086585416,0.7586953947202747,81.08606427697373,192.10068298956477,0.005308270407907562,1.0,0.37934769736013735,0.037795300290536946
1159.0,23.18,0.00634763798079435,307.77050814327896,0.0077088930022562166,10.493671406154608,17.411467557092156,230.58539360867036,0.76125958424179,80.34708900595804,187.81029220597298,0.005329876186504173,1.0,0.380629792120895,0.03792303839682037
